fecha,muestreo,idplot,zona,x,y,tipoplot,observadores,positiva,heces,huellas,hozadas,suphozadam2,habitat,cobsd,anysign_tot,anysign_yn,hozadas_yn,huellas_yn,heces_yn,id,soiltype_rev
10/2/2021,FEB 21,M01,NORTE,381534,6475427,EXTRA,AdM - AT,1,0,0,4,"0,819000005722046",SIOSEL_ARBUSTAL,5,4,1,1,0,0,M01,2
12/2/2022,FEB 22,M01,NORTE,381534,6475427,EXTRA,AF-RD,0,0,0,0,0,SIOSEL_ARBUSTAL,5,0,0,0,0,0,M01,2
3/8/2021,AGO 21,M01,NORTE,381534,6475427,EXTRA,AT-PAF-BD,1,0,6,0,0,SIOSEL_ARBUSTAL,5,6,1,0,1,0,M01,3
5/8/2022,AGO 22,M01,NORTE,381534,6475427,EXTRA,AdM-GC,0,0,0,0,0,SIOSEL_ARBUSTAL,0,0,0,0,0,0,M01,7
7/8/2021,AGO 21,M02,SUR,384107,6468913,EXTRA,AdM-SS-JA,1,4,0,12,"0,272000014781952",SIOSEL_ARBUSTAL,5,16,1,1,0,1,M02,3
9/2/2021,FEB 21,M02,SUR,384107,6468913,EXTRA,AdM - AT,1,1,0,3,"0,451999992132187",SIOSEL_ARBUSTAL,0,4,1,1,0,1,M02,7
19/2/2022,FEB 22,M02,SUR,384107,6468913,EXTRA,MP-AdM,1,0,0,13,"0,287999987602234",SIOSEL_ARBUSTAL,10,13,1,1,0,0,M02,7
11/8/2022,AGO 22,M02,SUR,384107,6468913,EXTRA,AdM-ER,1,0,1,7,"0,208000004291534",SIOSEL_ARBUSTAL,5,8,1,1,1,0,M02,7
19/2/2022,FEB 22,M03,SUR,384646,6468628,EXTRA,AF-RD-SRV,0,0,0,0,0,SIOSEL_ARBUSTAL,5,0,0,0,0,0,M03,7
7/8/2021,AGO 21,M03,SUR,384646,6468628,EXTRA,GN-CS-NM,1,1,0,1,"0,0860000029206276",SIOSEL_ARBUSTAL,0,2,1,1,0,1,M03,7
9/2/2021,FEB 21,M03,SUR,384646,6468628,EXTRA,AdM - AT,0,0,0,0,0,SIOSEL_ARBUSTAL,0,0,0,0,0,0,M03,7
11/8/2022,AGO 22,M03,SUR,384646,6468628,EXTRA,AT-SM,1,0,5,0,0,SIOSEL_ARBUSTAL,5,5,1,0,1,0,M03,7
11/8/2022,AGO 22,M04,SUR,382602,6468355,EXTRA,AT-RD,1,0,0,2,"0,157000005245209",SIOSEL_ARBUSTAL,5,2,1,1,0,0,M04,2
19/2/2022,FEB 22,M04,SUR,382602,6468355,EXTRA,MP-AdM,1,0,0,4,"0,370000004768372",SIOSEL_ARBUSTAL,5,4,1,1,0,0,M04,2
9/2/2021,FEB 21,M04,SUR,382602,6468355,EXTRA,FS - VL - RD,0,0,0,0,0,SIOSEL_ARBUSTAL,1,0,0,0,0,0,M04,2
7/8/2021,AGO 21,M04,SUR,382602,6468355,EXTRA,GN-CS-NM,1,1,0,0,0,SIOSEL_ARBUSTAL,0,1,1,0,0,1,M04,3
19/2/2022,FEB 22,M05,SUR,382276,6468253,EXTRA,MP-AdM,1,2,0,2,"0,136999994516373",SIOSEL_ARBUSTAL,5,4,1,1,0,1,M05,2
7/8/2021,AGO 21,M05,SUR,382276,6468253,EXTRA,AdM-SS-JA,1,1,3,1,"0,0219999998807907",SIOSEL_ARBUSTAL,10,5,1,1,1,1,M05,3
11/8/2022,AGO 22,M05,SUR,382276,6468253,EXTRA,AdM-ER,1,0,2,0,0,SIOSEL_ARBUSTAL,10,2,1,0,1,0,M05,3
9/2/2021,FEB 21,M05,SUR,382276,6468253,EXTRA,FS - VL - RD,0,0,0,0,0,SIOSEL_ARBUSTAL,5,0,0,0,0,0,M05,7
7/8/2021,AGO 21,M06,SUR,383049,6468867,EXTRA,GN-CS-NM,1,2,0,1,"0,0540000014007092",SIOSEL_ARBUSTAL,0,3,1,1,0,1,M06,2
19/2/2022,FEB 22,M06,SUR,383049,6468867,EXTRA,AF-RD-SRV,0,0,0,0,0,SIOSEL_ARBUSTAL,0,0,0,0,0,0,M06,2
9/2/2021,FEB 21,M06,SUR,383049,6468867,EXTRA,NM - GN ,1,0,1,0,0,SIOSEL_ARBUSTAL,1,1,1,0,1,0,M06,2
11/8/2022,AGO 22,M06,SUR,383049,6468867,EXTRA,AT-SM,1,0,47,2,"0,0120000001043081",SIOSEL_ARBUSTAL,35,49,1,1,1,0,M06,4
29/1/2021,FEB 21,N01,NORTE,"385264,8125",6476704,PRIMARIA,AdM - AT - FS - RD,1,1,0,1,"0,0399999991059303",SIOSEL_ARBUSTAL,0,2,1,1,0,1,N01,2
4/2/2020,FEB 20,N01,NORTE,"385264,8125",6476704,PRIMARIA,GN-AF,0,0,0,0,0,SIOSEL_ARBUSTAL,0,0,0,0,0,0,N01,2
5/8/2022,AGO 22,N01,NORTE,"385264,8125",6476704,PRIMARIA,AdM-GC,1,4,0,1,"0,025000000372529",SIOSEL_ARBUSTAL,5,5,1,1,0,1,N01,7
10/2/2022,FEB 22,N01,NORTE,"385264,8125",6476704,PRIMARIA,MP-AdM,1,1,0,1,"0,0219999998807907",SIOSEL_ARBUSTAL,10,2,1,1,0,1,N01,7
6/8/2021,AGO 21,N01,NORTE,"385264,8125",6476704,PRIMARIA,AdM-SS-JA,1,4,0,4,"1,50300002098084",SIOSEL_ARBUSTAL,5,8,1,1,0,1,N01,7
10/2/2022,FEB 22,N02,NORTE,"385189,8125",6476509,PRIMARIA,MP-AdM,0,0,0,0,0,BOSQUE_PASTIZAL,10,0,0,0,0,0,N02,2
5/8/2022,AGO 22,N02,NORTE,"385189,8125",6476509,PRIMARIA,AdM-GC,1,0,0,3,"0,0410000011324883",BOSQUE_PASTIZAL,5,3,1,1,0,0,N02,3
4/2/2020,FEB 20,N02,NORTE,"385189,8125",6476509,PRIMARIA,GN-AF,0,0,0,0,0,BOSQUE_PASTIZAL,60,0,0,0,0,0,N02,2
29/1/2021,FEB 21,N02,NORTE,"385189,8125",6476509,PRIMARIA,AdM - AT - FS - RD,1,0,0,2,"0,224999994039536",BOSQUE_PASTIZAL,30,2,1,1,0,0,N02,7
6/8/2021,AGO 21,N02,NORTE,"385189,8125",6476509,PRIMARIA,AdM-SS-JA,1,0,0,29,"19,9489994049072",BOSQUE_PASTIZAL,20,29,1,1,0,0,N02,7
5/8/2022,AGO 22,N03,NORTE,"386434,8125",6476254,PRIMARIA,AdM-GC,1,0,0,1,"0,0700000002980232",BOSQUE_SUELODESNUDO,0,1,1,1,0,0,N03,3
